date,USD,EUR,UAH,KZT,BYR
2014-01,32.659,45.056,3.963,0.212,0.003
2014-02,35.18,47.641,4.186,0.226,0.004
2014-03,36.185,49.584,3.382,0.196,0.004
2014-04,35.605,48.968,3.165,0.196,0.004
2014-05,35.723,49.319,3.12,0.196,0.004
2014-06,34.889,47.546,2.957,0.19,0.003
2014-07,33.843,46.183,2.88,0.184,0.003
2014-08,35.444,47.47,2.897,0.194,0.003
2014-09,37.294,48.968,2.88,0.205,0.004
2014-10,39.384,49.982,3.041,0.216,0.004
2014-11,41.963,52.722,3.227,0.232,0.004
2014-12,51.807,64.442,3.449,0.285,0.005
2015-01,56.238,68.368,3.555,0.308,0.004
2015-02,69.664,78.79,4.459,0.377,0.004
2015-03,62.225,69.542,2.283,0.336,0.004
2015-04,57.65,62.049,2.458,0.31,0.004
2015-05,51.139,57.158,2.407,0.275,0.004
2015-06,52.821,57.702,2.509,0.284,0.004
2015-07,55.841,62.38,2.659,0.3,0.004
2015-08,60.346,66.0,2.853,0.322,0.004
2015-09,66.715,74.848,3.067,0.279,0.004
2015-10,65.736,73.776,3.085,0.243,0.004
2015-11,63.799,70.396,2.774,0.227,0.004
2015-12,66.737,70.648,2.81,0.217,0.004
2016-01,72.93,79.639,3.035,0.214,0.004
2016-02,76.326,82.814,3.005,0.212,0.004
2016-03,75.899,83.102,2.801,0.217,0.004
2016-04,67.855,76.921,2.585,0.197,0.003
2016-05,66.172,76.051,2.628,0.199,0.003
2016-06,65.996,73.441,2.624,0.197,0.003
2016-07,64.175,71.293,2.585,0.189,31.888
2016-08,65.955,73.652,2.658,0.187,33.269
2016-09,65.254,72.686,2.5,0.192,33.31
2016-10,63.396,70.934,2.443,0.189,32.941
2016-11,63.217,69.286,2.479,0.189,33.211
2016-12,65.238,69.342,2.548,0.191,32.965
2017-01,59.896,63.112,2.22,0.181,30.583
2017-02,60.085,64.285,2.216,0.186,31.06
2017-03,57.963,61.388,2.133,0.185,30.766
2017-04,55.961,59.811,2.071,0.178,29.893
2017-05,56.952,62.151,2.145,0.181,30.521
2017-06,56.688,63.411,2.155,0.182,30.355
2017-07,59.386,67.807,2.281,0.184,30.619
2017-08,60.063,70.46,2.323,0.182,30.881
2017-09,58.545,69.622,2.277,0.173,30.264
2017-10,57.813,67.908,2.168,0.169,29.432
2017-11,58.118,67.643,2.164,0.174,29.442
2017-12,58.581,69.519,2.157,0.177,29.076
2018-01,57.046,68.21,2.024,0.173,28.3
2018-02,56.184,69.932,2.018,0.174,28.383
2018-03,56.374,68.906,2.104,0.176,28.77
2018-04,57.285,70.604,2.19,0.179,29.369
2018-05,63.486,76.126,2.422,0.192,31.452
2018-06,62.019,72.581,2.375,0.188,30.84
2018-07,63.139,73.469,2.407,0.185,31.8
2018-08,62.35,73.074,2.32,0.18,31.437
2018-09,68.045,79.497,2.409,0.187,32.675
2018-10,65.575,75.988,2.326,0.18,31.026
2018-11,65.596,74.419,2.335,0.178,30.956
2018-12,66.534,75.748,2.355,0.178,31.222
2019-01,67.079,76.907,2.383,0.179,31.12
2019-02,65.358,75.201,2.355,0.172,30.406
2019-03,65.889,74.969,2.457,0.176,30.821
2019-04,65.418,73.497,2.405,0.172,30.608
2019-05,64.631,72.31,2.448,0.17,30.691
2019-06,65.383,72.844,2.433,0.171,31.188
2019-07,63.054,71.396,2.407,0.165,30.873
2019-08,63.417,70.736,2.533,0.165,31.165
2019-09,66.624,73.173,2.635,0.172,31.64
2019-10,64.641,70.717,2.675,0.167,31.127
2019-11,63.775,71.192,2.568,0.164,31.099
2019-12,64.41,70.973,2.688,0.167,30.549
2020-01,61.906,69.378,2.612,0.162,29.355
2020-02,63.139,69.598,2.523,0.167,29.549
2020-03,66.327,73.418,2.68,0.174,29.686
2020-04,76.407,82.635,2.804,0.174,29.715
2020-05,72.726,79.119,2.698,0.171,30.183
2020-06,69.711,77.638,2.599,0.171,29.02
2020-07,70.441,78.993,2.642,0.174,29.211
2020-08,73.426,87.289,2.652,0.174,30.089
2020-09,73.804,87.827,2.675,0.176,27.787
2020-10,78.785,92.43,2.783,0.182,30.074
2020-11,80.575,93.757,2.823,0.185,30.303
2020-12,76.2,91.204,2.673,0.179,29.458
2021-01,73.876,90.793,2.607,0.175,28.523
2021-02,75.505,91.543,2.69,0.178,28.818
2021-03,74.045,89.446,2.645,0.177,28.426
2021-04,75.637,88.745,2.719,0.178,28.848
2021-05,74.845,90.585,2.698,0.174,29.24
2021-06,73.296,89.378,2.669,0.171,28.973
2021-07,72.723,86.512,2.671,0.17,28.749
2021-08,73.016,86.772,2.722,0.172,29.274
2021-09,73.278,86.666,2.726,0.172,29.273
2021-10,72.664,84.305,2.729,0.171,29.006
2021-11,71.086,82.169,2.705,0.166,29.119
2021-12,74.893,84.823,2.743,0.17,29.433
2022-01,75.132,85.132,2.73,0.172,29.104
2022-02,77.47,86.503,2.711,0.178,29.844
2022-03,93.559,104.477,3.101,0.188,33.926
2022-04,83.41,92.493,2.824,0.177,28.34
2022-05,69.416,72.781,2.349,0.157,26.632
2022-06,61.607,62.74,2.078,0.144,23.911
2022-07,52.512,54.641,1.779,0.113,20.462
2022-08,62.051,63.247,1.68,0.13,23.356
2022-09,60.239,60.214,1.632,0.129,23.58
2022-10,55.299,52.738,1.498,0.116,22.295
2022-11,61.623,61.12,1.668,0.132,24.885
2022-12,60.88,63.05,1.648,0.13,25.028
